YYMMDD,STN,TA_AVG,TA_MAX,TA_MIN,HM_AVG,RN_DAY,DATE
20200319,283,11.8,21.3,1241,44.9,-9.0,2020-03-19
20200319,284,8.1,17.0,914,50.8,-9.0,2020-03-19
20200319,285,9.8,18.4,1114,54.4,-9.0,2020-03-19
20200319,288,10.1,20.3,1317,45.0,-9.0,2020-03-19
20200319,289,8.3,17.8,1036,51.9,-9.0,2020-03-19
20200319,294,12.8,17.7,1131,53.5,-9.0,2020-03-19
20200319,295,12.5,18.3,1032,48.4,-9.0,2020-03-19
20200320,90,11.3,17.4,1411,25.4,-9.0,2020-03-20
20200320,93,7.4,14.9,1450,40.4,-9.0,2020-03-20
20200320,95,7.5,14.2,1457,40.3,-9.0,2020-03-20
20200320,98,7.8,14.9,1349,45.8,-9.0,2020-03-20
20200320,99,7.3,14.6,1258,52.6,-9.0,2020-03-20
20200320,100,3.8,9.3,1358,44.0,-9.0,2020-03-20
20200320,101,8.9,15.0,1537,34.0,-9.0,2020-03-20
20200320,102,8.6,12.1,1453,70.4,-9.0,2020-03-20
20200320,104,11.6,17.1,1433,21.0,-9.0,2020-03-20
20200320,105,11.5,16.7,1431,29.1,-9.0,2020-03-20
20200320,106,10.8,15.3,1250,28.1,-9.0,2020-03-20
20200320,108,8.8,14.0,1421,39.6,-9.0,2020-03-20
20200320,112,8.4,11.5,1425,55.9,-9.0,2020-03-20
20200320,114,8.6,15.0,1539,37.1,-9.0,2020-03-20
20200320,115,9.0,13.0,1501,54.0,-9.0,2020-03-20
20200320,119,8.7,14.7,1256,60.6,-9.0,2020-03-20
20200320,121,8.8,15.3,1509,34.6,-9.0,2020-03-20
20200320,127,7.9,16.3,1517,45.8,-9.0,2020-03-20
20200320,129,8.1,14.2,1317,58.1,-9.0,2020-03-20
20200320,130,12.1,19.0,1514,26.9,-9.0,2020-03-20
20200320,131,9.8,17.2,1425,39.0,-9.0,2020-03-20
20200320,133,9.6,15.8,1352,43.9,-9.0,2020-03-20
20200320,135,8.2,15.1,1543,35.0,-9.0,2020-03-20
20200320,136,9.7,16.3,1525,32.0,-9.0,2020-03-20
20200320,137,9.7,17.0,1416,39.0,-9.0,2020-03-20
20200320,138,12.5,18.3,1623,31.9,-9.0,2020-03-20
